Category,Subcategory,Subject,Location,Start Date,End Date,Notes,URL,Description
Film,Upcoming Release,Race for Glory,,1/5/2024,,Sports movie from Lionsgate distributed via Limited,https://www.movieinsider.com/m22352/race-for-glory,"Category: Film
Subcategory: Upcoming Release
Notes: Sports movie from Lionsgate distributed via Limited
URL: https://www.movieinsider.com/m22352/race-for-glory"
Film,Upcoming Release,Weak Layers,,1/5/2024,,Comedy movie from Greenwich Entertainment distributed via Limited,https://www.movieinsider.com/m22301/weak-layers,"Category: Film
Subcategory: Upcoming Release
Notes: Comedy movie from Greenwich Entertainment distributed via Limited
URL: https://www.movieinsider.com/m22301/weak-layers"
Film,Upcoming Release,Anselm,,1/5/2024,,Documentary movie from Janus Films distributed via Limited,https://www.movieinsider.com/m22235/anselm,"Category: Film
Subcategory: Upcoming Release
Notes: Documentary movie from Janus Films distributed via Limited
URL: https://www.movieinsider.com/m22235/anselm"
Film,Upcoming Release,Good Grief,,1/5/2024,,Romance movie from Netflix Originals distributed via Netflix,https://www.movieinsider.com/m20866/good-grief,"Category: Film
Subcategory: Upcoming Release
Notes: Romance movie from Netflix Originals distributed via Netflix
URL: https://www.movieinsider.com/m20866/good-grief"
Film,Upcoming Release,The Painter,,1/9/2024,,Thriller movie from Paramount Pictures distributed via VOD / Digital,https://www.movieinsider.com/m22357/the-painter,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Paramount Pictures distributed via VOD / Digital
URL: https://www.movieinsider.com/m22357/the-painter"
Film,Upcoming Release,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",,1/10/2024,,Reboot movie from Disney+ Original distributed via Disney+,https://www.movieinsider.com/m19903/alexander-and-the-terrible-horrible-no-good-very-bad-day,"Category: Film
Subcategory: Upcoming Release
Notes: Reboot movie from Disney+ Original distributed via Disney+
URL: https://www.movieinsider.com/m19903/alexander-and-the-terrible-horrible-no-good-very-bad-day"
Film,Upcoming Release,Echo (series),,1/10/2024,,Action movie from Marvel Studios distributed via Disney+,https://www.movieinsider.com/m22277/echo-series,"Category: Film
Subcategory: Upcoming Release
Notes: Action movie from Marvel Studios distributed via Disney+
URL: https://www.movieinsider.com/m22277/echo-series"
Film,Upcoming Release,Boy Swallows Universe (series),,1/11/2024,,Mystery movie from Netflix Originals distributed via Netflix,https://www.movieinsider.com/m22274/boy-swallows-universe,"Category: Film
Subcategory: Upcoming Release
Notes: Mystery movie from Netflix Originals distributed via Netflix
URL: https://www.movieinsider.com/m22274/boy-swallows-universe"
Film,Upcoming Release,Ted (series),,1/11/2024,,Comedy movie from Peacock distributed via Peacock,https://www.movieinsider.com/m22311/ted-series,"Category: Film
Subcategory: Upcoming Release
Notes: Comedy movie from Peacock distributed via Peacock
URL: https://www.movieinsider.com/m22311/ted-series"
Film,Upcoming Release,Mean Girls,,1/12/2024,,Teen movie from Paramount Pictures distributed via In Theaters,https://www.movieinsider.com/m18160/mean-girls,"Category: Film
Subcategory: Upcoming Release
Notes: Teen movie from Paramount Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m18160/mean-girls"
Film,Upcoming Release,Soul,,1/12/2024,,Adventure movie from Walt Disney Studios distributed via In Theaters,https://www.movieinsider.com/m13620/soul,"Category: Film
Subcategory: Upcoming Release
Notes: Adventure movie from Walt Disney Studios distributed via In Theaters
URL: https://www.movieinsider.com/m13620/soul"
Film,Upcoming Release,The Beekeeper,,1/12/2024,,Thriller movie from Metro-Goldwyn-Mayer (MGM) distributed via In Theaters,https://www.movieinsider.com/m20733/the-beekeeper,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Metro-Goldwyn-Mayer (MGM) distributed via In Theaters
URL: https://www.movieinsider.com/m20733/the-beekeeper"
Film,Upcoming Release,Lights Out,,1/12/2024,,Horror movie from Universal Pictures distributed via In Theaters,https://www.movieinsider.com/m19802/untitled-universal-jan-2024-film,"Category: Film
Subcategory: Upcoming Release
Notes: Horror movie from Universal Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m19802/untitled-universal-jan-2024-film"
Film,Upcoming Release,The Book of Clarence,,1/12/2024,,Epic movie from Sony Pictures distributed via In Theaters,https://www.movieinsider.com/m20859/the-book-of-clarence,"Category: Film
Subcategory: Upcoming Release
Notes: Epic movie from Sony Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m20859/the-book-of-clarence"
Film,Upcoming Release,The Settlers,,1/12/2024,,Drama movie from MUBI distributed via Limited,https://www.movieinsider.com/m22228/the-settlers,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from MUBI distributed via Limited
URL: https://www.movieinsider.com/m22228/the-settlers"
Film,Upcoming Release,T.I.M.,,1/12/2024,,Sci-Fi movie from Brainstorm Media distributed via Limited,https://www.movieinsider.com/m22220/tim,"Category: Film
Subcategory: Upcoming Release
Notes: Sci-Fi movie from Brainstorm Media distributed via Limited
URL: https://www.movieinsider.com/m22220/tim"
Film,Upcoming Release,Hellhound,,1/12/2024,,Action movie from Saban Films distributed via Limited,https://www.movieinsider.com/m22190/hellhound,"Category: Film
Subcategory: Upcoming Release
Notes: Action movie from Saban Films distributed via Limited
URL: https://www.movieinsider.com/m22190/hellhound"
Film,Upcoming Release,The Night They Came Home,,1/12/2024,,Thriller movie from Lionsgate distributed via Limited,https://www.movieinsider.com/m22363/the-night-they-came-home,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Lionsgate distributed via Limited
URL: https://www.movieinsider.com/m22363/the-night-they-came-home"
Film,Upcoming Release,Driving Madeleine,,1/12/2024,,Drama movie from Cohen Media Group distributed via NYC / LA,https://www.movieinsider.com/m22304/driving-madeleine,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Cohen Media Group distributed via NYC / LA
URL: https://www.movieinsider.com/m22304/driving-madeleine"
Film,Upcoming Release,What Happened at 625 River Road,,1/12/2024,,Thriller movie from Freestyle Digital Media distributed via VOD / Digital,https://www.movieinsider.com/m22295/what-happened-at-625-river-road,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Freestyle Digital Media distributed via VOD / Digital
URL: https://www.movieinsider.com/m22295/what-happened-at-625-river-road"
Film,Upcoming Release,Under the Fig Trees,,1/12/2024,,Drama movie from Film Movement distributed via VOD / Digital,https://www.movieinsider.com/m22202/under-the-fig-trees,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Film Movement distributed via VOD / Digital
URL: https://www.movieinsider.com/m22202/under-the-fig-trees"
Film,Upcoming Release,Laced,,1/12/2024,,Thriller movie from Dark Sky Films distributed via VOD / Digital,https://www.movieinsider.com/m22364/laced,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Dark Sky Films distributed via VOD / Digital
URL: https://www.movieinsider.com/m22364/laced"
Film,Upcoming Release,Lift,,1/12/2024,,Crime movie from Netflix Originals distributed via Netflix,https://www.movieinsider.com/m19191/lift,"Category: Film
Subcategory: Upcoming Release
Notes: Crime movie from Netflix Originals distributed via Netflix
URL: https://www.movieinsider.com/m19191/lift"
Film,Upcoming Release,Self Reliance,,1/12/2024,,Thriller movie from Hulu Original distributed via Hulu,https://www.movieinsider.com/m21836/self-reliance,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Hulu Original distributed via Hulu
URL: https://www.movieinsider.com/m21836/self-reliance"
Film,Upcoming Release,Role Play,,1/12/2024,,Thriller movie from Amazon Studios distributed via PrimeVideo,https://www.movieinsider.com/m18580/role-play,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Amazon Studios distributed via PrimeVideo
URL: https://www.movieinsider.com/m18580/role-play"
Film,Upcoming Release,War Blade,,1/15/2024,,War movie from 101 Films distributed via VOD / Digital,https://www.movieinsider.com/m22353/war-blade,"Category: Film
Subcategory: Upcoming Release
Notes: War movie from 101 Films distributed via VOD / Digital
URL: https://www.movieinsider.com/m22353/war-blade"
Film,Upcoming Release,Spring Lakes,,1/16/2024,,Horror movie from Gravitas Ventures distributed via Limited,https://www.movieinsider.com/m22365/spring-lakes,"Category: Film
Subcategory: Upcoming Release
Notes: Horror movie from Gravitas Ventures distributed via Limited
URL: https://www.movieinsider.com/m22365/spring-lakes"
Film,Upcoming Release,I.S.S.,,1/19/2024,,Thriller movie from Bleecker Street distributed via In Theaters,https://www.movieinsider.com/m22351/iss,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Bleecker Street distributed via In Theaters
URL: https://www.movieinsider.com/m22351/iss"
Film,Upcoming Release,Distant,,1/19/2024,,Drama movie from Universal Pictures distributed via In Theaters,https://www.movieinsider.com/m17224/distant,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Universal Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m17224/distant"
Film,Upcoming Release,Inside the Yellow Cocoon Shell,,1/19/2024,,Drama movie from Kino Lorber distributed via Limited,https://www.movieinsider.com/m22355/inside-the-yellow-cocoon-shell,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Kino Lorber distributed via Limited
URL: https://www.movieinsider.com/m22355/inside-the-yellow-cocoon-shell"
Film,Upcoming Release,Founders Day,,1/19/2024,,Horror movie from Dark Sky Films distributed via Limited,https://www.movieinsider.com/m22053/founders-day,"Category: Film
Subcategory: Upcoming Release
Notes: Horror movie from Dark Sky Films distributed via Limited
URL: https://www.movieinsider.com/m22053/founders-day"
Film,Upcoming Release,Sunrise,,1/19/2024,,Thriller movie from Lionsgate distributed via Limited,https://www.movieinsider.com/m22290/sunrise,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Lionsgate distributed via Limited
URL: https://www.movieinsider.com/m22290/sunrise"
Film,Upcoming Release,Wanted Man,,1/19/2024,,Crime movie from Quiver Distribution distributed via Limited,https://www.movieinsider.com/m19987/wanted-man,"Category: Film
Subcategory: Upcoming Release
Notes: Crime movie from Quiver Distribution distributed via Limited
URL: https://www.movieinsider.com/m19987/wanted-man"
Film,Upcoming Release,Origin,,1/19/2024,,Drama movie from NEON distributed via Expansion,https://www.movieinsider.com/m22061/origin,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from NEON distributed via Expansion
URL: https://www.movieinsider.com/m22061/origin"
Film,Upcoming Release,Driving Madeleine,,1/19/2024,,Drama movie from Cohen Media Group distributed via Expansion,https://www.movieinsider.com/m22304/driving-madeleine,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Cohen Media Group distributed via Expansion
URL: https://www.movieinsider.com/m22304/driving-madeleine"
Film,Upcoming Release,Cowboy Bebop: The Movie,,1/21/2024,,Re-Release movie from Samuel Goldwyn Films distributed via —,https://www.movieinsider.com/m436/cowboy-bebop-the-movie,"Category: Film
Subcategory: Upcoming Release
Notes: Re-Release movie from Samuel Goldwyn Films distributed via —
URL: https://www.movieinsider.com/m436/cowboy-bebop-the-movie"
Film,Upcoming Release,Feeding Tomorrow,,1/23/2024,,Documentary movie from Gravitas Ventures distributed via Limited,https://www.movieinsider.com/m22344/feeding-tomorrow,"Category: Film
Subcategory: Upcoming Release
Notes: Documentary movie from Gravitas Ventures distributed via Limited
URL: https://www.movieinsider.com/m22344/feeding-tomorrow"
Film,Upcoming Release,Griselda (series),,1/25/2024,,Drama movie from Netflix Originals distributed via Netflix,https://www.movieinsider.com/m22115/griselda-series,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Netflix Originals distributed via Netflix
URL: https://www.movieinsider.com/m22115/griselda-series"
Film,Upcoming Release,The Underdoggs,,1/26/2024,,Comedy movie from United Artists Releasing distributed via In Theaters,https://www.movieinsider.com/m20828/the-underdoggs,"Category: Film
Subcategory: Upcoming Release
Notes: Comedy movie from United Artists Releasing distributed via In Theaters
URL: https://www.movieinsider.com/m20828/the-underdoggs"
Film,Upcoming Release,The Seeding,,1/26/2024,,Horror movie from Magnolia Pictures distributed via Limited,https://www.movieinsider.com/m22359/the-seeding,"Category: Film
Subcategory: Upcoming Release
Notes: Horror movie from Magnolia Pictures distributed via Limited
URL: https://www.movieinsider.com/m22359/the-seeding"
Film,Upcoming Release,Sometimes I Think About Dying,,1/26/2024,,Drama movie from Oscilloscope Laboratories distributed via Limited,https://www.movieinsider.com/m20009/sometimes-i-think-about-dying,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Oscilloscope Laboratories distributed via Limited
URL: https://www.movieinsider.com/m20009/sometimes-i-think-about-dying"
Film,Upcoming Release,I.S.S,,1/26/2024,,Sci-Fi movie from Bleecker Street distributed via Limited,https://www.movieinsider.com/m22227/iss,"Category: Film
Subcategory: Upcoming Release
Notes: Sci-Fi movie from Bleecker Street distributed via Limited
URL: https://www.movieinsider.com/m22227/iss"
Film,Upcoming Release,American Star,,1/26/2024,,Thriller movie from IFC Films distributed via Limited,https://www.movieinsider.com/m22331/american-star,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from IFC Films distributed via Limited
URL: https://www.movieinsider.com/m22331/american-star"
Film,Upcoming Release,Masters of the Air (series),,1/26/2024,,Drama movie from Apple Original Films distributed via Apple TV+,https://www.movieinsider.com/m22354/masters-of-the-air,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Apple Original Films distributed via Apple TV+
URL: https://www.movieinsider.com/m22354/masters-of-the-air"
Film,Upcoming Release,The Chosen Season 4,,2/1/2024,,Drama movie from Fathom Events distributed via Limited,https://www.movieinsider.com/m22217/the-chosen-season-4,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Fathom Events distributed via Limited
URL: https://www.movieinsider.com/m22217/the-chosen-season-4"
Film,Upcoming Release,Argylle,,2/2/2024,,Mystery movie from Apple Original Films distributed via In Theaters,https://www.movieinsider.com/m19389/argylle,"Category: Film
Subcategory: Upcoming Release
Notes: Mystery movie from Apple Original Films distributed via In Theaters
URL: https://www.movieinsider.com/m19389/argylle"
Film,Upcoming Release,The Promised Land,,2/2/2024,,Drama movie from Magnolia Pictures distributed via Limited,https://www.movieinsider.com/m22019/the-promised-land,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Magnolia Pictures distributed via Limited
URL: https://www.movieinsider.com/m22019/the-promised-land"
Film,Upcoming Release,Mr. & Mrs. Smith (series),,2/2/2024,,Action movie from Amazon Studios distributed via PrimeVideo,https://www.movieinsider.com/m22312/mr-mrs-smith,"Category: Film
Subcategory: Upcoming Release
Notes: Action movie from Amazon Studios distributed via PrimeVideo
URL: https://www.movieinsider.com/m22312/mr-mrs-smith"
Film,Upcoming Release,The Tiger's Apprentice,,2/2/2024,,Kids movie from Paramount Pictures distributed via Paramount+,https://www.movieinsider.com/m619/the-tigers-apprentice,"Category: Film
Subcategory: Upcoming Release
Notes: Kids movie from Paramount Pictures distributed via Paramount+
URL: https://www.movieinsider.com/m619/the-tigers-apprentice"
Film,Upcoming Release,Weak Layers,,2/6/2024,,Comedy movie from Greenwich Entertainment distributed via VOD / Digital,https://www.movieinsider.com/m22301/weak-layers,"Category: Film
Subcategory: Upcoming Release
Notes: Comedy movie from Greenwich Entertainment distributed via VOD / Digital
URL: https://www.movieinsider.com/m22301/weak-layers"
Film,Upcoming Release,2 Win,,2/8/2024,,Drama movie from Lionsgate distributed via In Theaters,https://www.movieinsider.com/m22133/2-win,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Lionsgate distributed via In Theaters
URL: https://www.movieinsider.com/m22133/2-win"
Film,Upcoming Release,Turning Red,,2/9/2024,,Animation movie from Walt Disney Studios distributed via In Theaters,https://www.movieinsider.com/m16376/turning-red,"Category: Film
Subcategory: Upcoming Release
Notes: Animation movie from Walt Disney Studios distributed via In Theaters
URL: https://www.movieinsider.com/m16376/turning-red"
Film,Upcoming Release,Lisa Frankenstein,,2/9/2024,,Comedy movie from Focus Features distributed via In Theaters,https://www.movieinsider.com/m20525/lisa-frankenstein,"Category: Film
Subcategory: Upcoming Release
Notes: Comedy movie from Focus Features distributed via In Theaters
URL: https://www.movieinsider.com/m20525/lisa-frankenstein"
Film,Upcoming Release,Colleen Hoover’s It Ends With Us,,2/9/2024,,Adaptation movie from Sony Pictures distributed via In Theaters,https://www.movieinsider.com/m21241/it-ends-with-us,"Category: Film
Subcategory: Upcoming Release
Notes: Adaptation movie from Sony Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m21241/it-ends-with-us"
Film,Upcoming Release,The Taste of Things,,2/9/2024,,Romance movie from IFC Films distributed via Limited,https://www.movieinsider.com/m22097/the-taste-of-things,"Category: Film
Subcategory: Upcoming Release
Notes: Romance movie from IFC Films distributed via Limited
URL: https://www.movieinsider.com/m22097/the-taste-of-things"
Film,Upcoming Release,Drift,,2/9/2024,,Drama movie from Utopia distributed via Limited,https://www.movieinsider.com/m22258/drift,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Utopia distributed via Limited
URL: https://www.movieinsider.com/m22258/drift"
Film,Upcoming Release,Marmalade,,2/9/2024,,Crime movie from Brainstorm Media distributed via Limited,https://www.movieinsider.com/m22219/marmalade,"Category: Film
Subcategory: Upcoming Release
Notes: Crime movie from Brainstorm Media distributed via Limited
URL: https://www.movieinsider.com/m22219/marmalade"
Film,Upcoming Release,Gloria Gaynor: I Will Survive,,2/13/2024,,Documentary movie from Fathom Events distributed via Limited,https://www.movieinsider.com/m22214/gloria-gaynor-i-will-survive,"Category: Film
Subcategory: Upcoming Release
Notes: Documentary movie from Fathom Events distributed via Limited
URL: https://www.movieinsider.com/m22214/gloria-gaynor-i-will-survive"
Film,Upcoming Release,Winnie-the-Pooh: Blood and Honey 2,,2/14/2024,,Horror movie from ITN Distribution distributed via In Theaters,https://www.movieinsider.com/m21715/winnie-the-pooh-blood-and-honey-2,"Category: Film
Subcategory: Upcoming Release
Notes: Horror movie from ITN Distribution distributed via In Theaters
URL: https://www.movieinsider.com/m21715/winnie-the-pooh-blood-and-honey-2"
Film,Upcoming Release,Madame Web,,2/14/2024,,Superhero movie from Sony Pictures distributed via In Theaters,https://www.movieinsider.com/m17877/madame-web,"Category: Film
Subcategory: Upcoming Release
Notes: Superhero movie from Sony Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m17877/madame-web"
Film,Upcoming Release,Bob Marley: One Love,,2/14/2024,,Music movie from Paramount Pictures distributed via In Theaters,https://www.movieinsider.com/m7835/untitled-bob-marley-project,"Category: Film
Subcategory: Upcoming Release
Notes: Music movie from Paramount Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m7835/untitled-bob-marley-project"
Film,Upcoming Release,What About Love,,2/14/2024,,Romance movie from JPSLD distributed via Limited,https://www.movieinsider.com/m18059/what-about-love,"Category: Film
Subcategory: Upcoming Release
Notes: Romance movie from JPSLD distributed via Limited
URL: https://www.movieinsider.com/m18059/what-about-love"
Film,Upcoming Release,God & Country: The Rise of Christian Nationalism,,2/16/2024,,Faith movie from Oscilloscope Laboratories distributed via Limited,https://www.movieinsider.com/m22225/god-country-the-rise-of-christian-nationalism,"Category: Film
Subcategory: Upcoming Release
Notes: Faith movie from Oscilloscope Laboratories distributed via Limited
URL: https://www.movieinsider.com/m22225/god-country-the-rise-of-christian-nationalism"
Film,Upcoming Release,This Is Me... Now: The Film,,2/16/2024,,Music movie from Amazon Studios distributed via PrimeVideo,https://www.movieinsider.com/m22345/this-is-me-now-the-film,"Category: Film
Subcategory: Upcoming Release
Notes: Music movie from Amazon Studios distributed via PrimeVideo
URL: https://www.movieinsider.com/m22345/this-is-me-now-the-film"
Film,Upcoming Release,Ordinary Angels,,2/23/2024,,Drama movie from Lionsgate distributed via In Theaters,https://www.movieinsider.com/m21403/ordinary-angels,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Lionsgate distributed via In Theaters
URL: https://www.movieinsider.com/m21403/ordinary-angels"
Film,Upcoming Release,Drive-Away Dolls,,2/23/2024,,Comedy movie from Focus Features distributed via In Theaters,https://www.movieinsider.com/m21500/drive-away-dolls,"Category: Film
Subcategory: Upcoming Release
Notes: Comedy movie from Focus Features distributed via In Theaters
URL: https://www.movieinsider.com/m21500/drive-away-dolls"
Film,Upcoming Release,The Fall Guy,,3/1/2024,,Based on TV movie from Universal Pictures distributed via In Theaters,https://www.movieinsider.com/m20673/the-fall-guy,"Category: Film
Subcategory: Upcoming Release
Notes: Based on TV movie from Universal Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m20673/the-fall-guy"
Film,Upcoming Release,Limbo,,3/1/2024,,Thriller movie from Brainstorm Media distributed via Limited,https://www.movieinsider.com/m21940/limbo,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Brainstorm Media distributed via Limited
URL: https://www.movieinsider.com/m21940/limbo"
Film,Upcoming Release,Kung Fu Panda 4,,3/8/2024,,Adventure movie from Universal Pictures distributed via In Theaters,https://www.movieinsider.com/m20675/kung-fu-panda-4,"Category: Film
Subcategory: Upcoming Release
Notes: Adventure movie from Universal Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m20675/kung-fu-panda-4"
Film,Upcoming Release,Imaginary,,3/8/2024,,Thriller movie from Lionsgate distributed via In Theaters,https://www.movieinsider.com/m21242/imaginary,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Lionsgate distributed via In Theaters
URL: https://www.movieinsider.com/m21242/imaginary"
Film,Upcoming Release,Cabrini,,3/8/2024,,Drama movie from Angel Studios distributed via Limited,https://www.movieinsider.com/m19593/francesca-cabrini-biopic,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Angel Studios distributed via Limited
URL: https://www.movieinsider.com/m19593/francesca-cabrini-biopic"
Film,Upcoming Release,Dune: Part Two,,3/15/2024,,Sequel movie from Warner Bros. Pictures distributed via In Theaters,https://www.movieinsider.com/m20138/dune-part-two,"Category: Film
Subcategory: Upcoming Release
Notes: Sequel movie from Warner Bros. Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m20138/dune-part-two"
Film,Upcoming Release,Arthur The King,,3/22/2024,,Drama movie from Lionsgate distributed via In Theaters,https://www.movieinsider.com/m17739/arthur-the-king,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Lionsgate distributed via In Theaters
URL: https://www.movieinsider.com/m17739/arthur-the-king"
Film,Upcoming Release,Luca,,3/22/2024,,Family movie from Walt Disney Studios distributed via In Theaters,https://www.movieinsider.com/m18630/luca,"Category: Film
Subcategory: Upcoming Release
Notes: Family movie from Walt Disney Studios distributed via In Theaters
URL: https://www.movieinsider.com/m18630/luca"
Film,Upcoming Release,Femme,,3/22/2024,,Thriller movie from Utopia distributed via Limited,https://www.movieinsider.com/m22206/femme,"Category: Film
Subcategory: Upcoming Release
Notes: Thriller movie from Utopia distributed via Limited
URL: https://www.movieinsider.com/m22206/femme"
Film,Upcoming Release,Ghostbusters: Frozen Empire,,3/29/2024,,Sci-Fi movie from Sony Pictures distributed via In Theaters,https://www.movieinsider.com/m20387/ghostbusters-afterlife-2,"Category: Film
Subcategory: Upcoming Release
Notes: Sci-Fi movie from Sony Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m20387/ghostbusters-afterlife-2"
Film,Upcoming Release,Mickey 17,,3/29/2024,,Sci-Fi movie from Warner Bros. Pictures distributed via In Theaters,https://www.movieinsider.com/m18390/mickey7,"Category: Film
Subcategory: Upcoming Release
Notes: Sci-Fi movie from Warner Bros. Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m18390/mickey7"
Film,Upcoming Release,Someone Like You,,4/2/2024,,Adaptation movie from Fathom Events distributed via Limited,https://www.movieinsider.com/m22215/someone-like-you,"Category: Film
Subcategory: Upcoming Release
Notes: Adaptation movie from Fathom Events distributed via Limited
URL: https://www.movieinsider.com/m22215/someone-like-you"
Film,Upcoming Release,Dreamer,,4/5/2024,,Drama movie from Roadside Attractions distributed via In Theaters,https://www.movieinsider.com/m22173/dreamer,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Roadside Attractions distributed via In Theaters
URL: https://www.movieinsider.com/m22173/dreamer"
Film,Upcoming Release,The First Omen,,4/5/2024,,Supernatural movie from 20th Century Studios distributed via In Theaters,https://www.movieinsider.com/m14340/the-first-omen,"Category: Film
Subcategory: Upcoming Release
Notes: Supernatural movie from 20th Century Studios distributed via In Theaters
URL: https://www.movieinsider.com/m14340/the-first-omen"
Film,Upcoming Release,Godzilla x Kong: The New Empire,,4/12/2024,,Adventure movie from Warner Bros. Pictures distributed via In Theaters,https://www.movieinsider.com/m21506/godzilla-x-kong-the-new-empire,"Category: Film
Subcategory: Upcoming Release
Notes: Adventure movie from Warner Bros. Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m21506/godzilla-x-kong-the-new-empire"
Film,Upcoming Release,LaRoy,,4/12/2024,,Crime movie from Brainstorm Media distributed via Limited,https://www.movieinsider.com/m22221/laroy,"Category: Film
Subcategory: Upcoming Release
Notes: Crime movie from Brainstorm Media distributed via Limited
URL: https://www.movieinsider.com/m22221/laroy"
Film,Upcoming Release,Fallout (series),,4/12/2024,,Adventure movie from Amazon Studios distributed via PrimeVideo,https://www.movieinsider.com/m22350/fallout,"Category: Film
Subcategory: Upcoming Release
Notes: Adventure movie from Amazon Studios distributed via PrimeVideo
URL: https://www.movieinsider.com/m22350/fallout"
Film,Upcoming Release,Untitled Monsters Film,,4/19/2024,,Suspense movie from Universal Pictures distributed via In Theaters,https://www.movieinsider.com/m21643/abducting-abigail,"Category: Film
Subcategory: Upcoming Release
Notes: Suspense movie from Universal Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m21643/abducting-abigail"
Film,Upcoming Release,Rebel Moon Part 2: The Scargiver,,4/19/2024,,Action movie from Netflix Originals distributed via Netflix,https://www.movieinsider.com/m22015/rebel-moon-part-2-the-scargiver,"Category: Film
Subcategory: Upcoming Release
Notes: Action movie from Netflix Originals distributed via Netflix
URL: https://www.movieinsider.com/m22015/rebel-moon-part-2-the-scargiver"
Film,Upcoming Release,Challengers,,4/26/2024,,Drama movie from Metro-Goldwyn-Mayer (MGM) distributed via In Theaters,https://www.movieinsider.com/m21787/challengers,"Category: Film
Subcategory: Upcoming Release
Notes: Drama movie from Metro-Goldwyn-Mayer (MGM) distributed via In Theaters
URL: https://www.movieinsider.com/m21787/challengers"
Film,Upcoming Release,Unsung Hero,,4/26/2024,,True Story movie from Lionsgate distributed via In Theaters,https://www.movieinsider.com/m22224/unsung-hero,"Category: Film
Subcategory: Upcoming Release
Notes: True Story movie from Lionsgate distributed via In Theaters
URL: https://www.movieinsider.com/m22224/unsung-hero"
Film,Upcoming Release,Deadpool 3,,5/3/2024,,Superhero movie from 20th Century Studios distributed via In Theaters,https://www.movieinsider.com/m18086/deadpool-3,"Category: Film
Subcategory: Upcoming Release
Notes: Superhero movie from 20th Century Studios distributed via In Theaters
URL: https://www.movieinsider.com/m18086/deadpool-3"
Film,Upcoming Release,My Ex-Friend's Wedding,,5/10/2024,,Comedy movie from Sony Pictures distributed via In Theaters,https://www.movieinsider.com/m21768/my-ex-friends-wedding,"Category: Film
Subcategory: Upcoming Release
Notes: Comedy movie from Sony Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m21768/my-ex-friends-wedding"
Film,Upcoming Release,If,,5/17/2024,,Comedy movie from Paramount Pictures distributed via In Theaters,https://www.movieinsider.com/m4661/if,"Category: Film
Subcategory: Upcoming Release
Notes: Comedy movie from Paramount Pictures distributed via In Theaters
URL: https://www.movieinsider.com/m4661/if"
Film,Upcoming Release,Multiplied,,5/20/2024,,Faith movie from Fathom Events distributed via Limited,https://www.movieinsider.com/m22218/multiplied,"Category: Film
Subcategory: Upcoming Release
Notes: Faith movie from Fathom Events distributed via Limited
URL: https://www.movieinsider.com/m22218/multiplied"
